Country.of.Origin,Species,Owner,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Cuper.Points
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.58,7.58,7.33,7.58,7.33,7.67,10.0,10.0,10.0,7.67,82.75,0.12,0,0,Green,0.0,7.67
Taiwan,Arabica,"lin, che-hao krude ???",Yellow Bourbon,Natural / Dry,7.83,7.67,7.33,7.67,7.58,7.67,9.33,10.0,10.0,7.67,82.75,0.0,0,0,Green,0.0,7.67
Costa Rica,Arabica,"ceca, s.a.",Caturra,Washed / Wet,7.58,7.5,7.42,7.67,7.42,7.5,10.0,10.0,10.0,7.67,82.75,0.09,0,0,Bluish-Green,1.0,7.67
Honduras,Arabica,bismarck castro,Caturra,Natural / Dry,7.58,7.5,7.42,7.58,7.5,7.5,10.0,10.0,10.0,7.67,82.75,0.09,0,1,Green,6.0,7.67
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Pulped natural / honey,7.5,7.5,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,82.75,0.11,0,2,Bluish-Green,1.0,7.5
China,Arabica,yunnan coffee exchange,Catimor,Natural / Dry,7.67,7.5,7.33,7.33,7.67,7.67,10.0,10.0,10.0,7.58,82.75,0.1,0,0,Green,0.0,7.58
China,Arabica,yunnan coffee exchange,Catimor,Washed / Wet,7.5,7.67,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.5,82.75,0.11,0,0,Green,2.0,7.5
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.5,7.58,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.5,82.75,0.0,0,0,Blue-Green,2.0,7.5
Malawi,Arabica,afca,Gesha,Washed / Wet,7.75,7.58,7.42,7.5,7.33,7.5,10.0,10.0,10.0,7.67,82.75,0.12,0,0,Bluish-Green,0.0,7.67
Guatemala,Arabica,juan luis alvarado romero,Pacas,Washed / Wet,7.75,7.42,7.25,7.75,7.5,7.67,10.0,10.0,10.0,7.42,82.75,0.13,0,0,Green,2.0,7.42
Colombia,Arabica,coffee export,Typica,Washed / Wet,7.67,7.42,7.42,7.58,7.33,7.67,10.0,10.0,10.0,7.67,82.75,0.12,0,0,Green,0.0,7.67
United States (Hawaii),Arabica,eileen koyanagi,Hawaiian Kona,Natural / Dry,7.67,7.58,7.42,7.83,7.33,7.5,10.0,10.0,10.0,7.42,82.75,0.1,6,0,Blue-Green,0.0,7.42
United States (Hawaii),Arabica,eileen koyanagi,Hawaiian Kona,Natural / Dry,7.58,7.83,7.75,7.75,7.42,8.0,9.33,9.33,10.0,7.75,82.75,0.1,0,0,Green,0.0,7.75
Colombia,Arabica,the coffee source inc.,Caturra,Washed / Wet,7.58,7.33,7.17,7.33,7.25,8.58,10.0,10.0,10.0,7.5,82.75,0.1,0,0,Green,2.0,7.5
Mexico,Arabica,nestor mendez gomez,Typica,Washed / Wet,7.58,7.58,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.58,82.75,0.12,0,0,Green,6.0,7.58
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,7.42,82.75,0.11,0,0,Green,3.0,7.42
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Washed / Wet,7.25,7.75,7.5,7.83,7.67,7.67,9.33,10.0,10.0,7.75,82.75,0.12,0,0,Green,0.0,7.75
Panama,Arabica,rachel peterson,Catuai,Washed / Wet,7.42,7.42,7.5,7.58,7.5,7.75,10.0,10.0,10.0,7.58,82.75,0.0,0,0,Green,4.0,7.58
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.5,7.58,7.25,7.75,7.58,7.5,10.0,10.0,10.0,7.5,82.67,0.0,0,0,Green,4.0,7.5
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.5,7.58,7.5,7.67,7.5,7.42,10.0,10.0,10.0,7.5,82.67,0.11,0,2,Bluish-Green,3.0,7.5
Laos,Arabica,cqi taiwan icp cqi??????,Catimor,Washed / Wet,7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,7.58,82.67,0.13,0,0,Bluish-Green,0.0,7.58
El Salvador,Arabica,consejo salvadoreÃ±o del cafÃ©,Pacas,Washed / Wet,7.67,7.67,7.67,7.67,7.5,7.67,10.0,10.0,9.33,7.5,82.67,0.0,0,0,Green,7.0,7.5
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,7.58,7.5,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.5,82.67,0.0,0,0,Green,0.0,7.5
"Tanzania, United Republic Of",Arabica,nitin coffee estate,Other,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.58,10.0,10.0,10.0,7.58,82.67,0.12,0,0,Green,0.0,7.58
"Tanzania, United Republic Of",Arabica,taylor winch (t) ltd,Bourbon,Washed / Wet,7.58,7.5,7.5,7.58,7.33,7.58,10.0,10.0,10.0,7.58,82.67,0.12,0,0,Green,4.0,7.58
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Washed / Wet,8.0,7.83,7.83,7.42,7.25,7.25,10.0,10.0,10.0,7.08,82.67,0.08,0,0,Green,0.0,7.08
Mexico,Arabica,productos y servicios chilindron s.a. de c.v.,Typica,Natural / Dry,7.67,7.58,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.58,82.67,0.11,0,0,Green,0.0,7.58
Uganda,Arabica,kawacom uganda ltd,SL14,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.5,10.0,10.0,10.0,7.5,82.67,0.12,0,0,Green,0.0,7.5
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Washed / Wet,7.67,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.67,0.11,0,0,Green,0.0,7.5
Thailand,Arabica,???? koju matsuzawa,Caturra,Washed / Wet,7.42,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,7.5,82.67,0.11,0,0,Bluish-Green,0.0,7.5
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.75,7.58,7.67,7.25,7.58,7.42,10.0,10.0,10.0,7.42,82.67,0.11,0,0,Bluish-Green,3.0,7.42
El Salvador,Arabica,adam kline,Other,Washed / Wet,7.92,8,7.5,6.75,7.92,7.58,10.0,10.0,9.33,7.67,82.67,0.0,0,0,None,17.0,7.67
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.67,7.67,7.17,7.67,7.5,7.5,10.0,10.0,10.0,7.5,82.67,0.11,0,0,Green,0.0,7.5
Thailand,Arabica,doi tung development project,Other,Washed / Wet,7.83,7.33,7.83,7.33,7.58,7.83,10.0,10.0,9.33,7.58,82.67,0.12,0,0,Bluish-Green,0.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.42,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.5,82.58,0.1,0,1,Green,2.0,7.5
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Pulped natural / honey,7.67,7.42,7.5,7.42,7.58,7.5,10.0,10.0,10.0,7.5,82.58,0.11,0,5,Green,0.0,7.5
Indonesia,Arabica,andry simarmata,Typica,Semi-washed / Semi-pulped,7.83,7.58,7.42,7.33,7.42,7.5,10.0,10.0,10.0,7.5,82.58,0.13,0,0,Blue-Green,6.0,7.5
Thailand,Arabica,???? koju matsuzawa,Caturra,Washed / Wet,7.42,7.58,7.58,7.42,7.58,7.5,10.0,10.0,10.0,7.5,82.58,0.12,0,0,Blue-Green,1.0,7.5
Uganda,Arabica,kawacom uganda ltd,SL14,Natural / Dry,7.83,7.5,7.42,7.58,7.42,7.42,10.0,10.0,10.0,7.42,82.58,0.12,0,0,Green,0.0,7.42
Costa Rica,Arabica,eric thormaehlen,Catuai,Washed / Wet,7.67,7.42,7.5,7.67,7.0,7.75,10.0,10.0,10.0,7.58,82.58,0.11,0,0,Green,3.0,7.58
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.75,7.25,7.33,7.42,7.5,7.83,10.0,10.0,10.0,7.5,82.58,0.11,0,0,Blue-Green,3.0,7.5
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.58,7.5,7.42,7.58,7.67,7.42,10.0,10.0,10.0,7.42,82.58,0.11,0,0,Green,0.0,7.42
Mexico,Arabica,guillermo rojas saldana,Typica,Washed / Wet,7.5,7.58,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.58,82.58,0.1,0,0,Green,6.0,7.58
Mexico,Arabica,organizaciones de productores de cafe colimense,Typica,Washed / Wet,7.67,7.58,7.58,7.75,7.67,6.83,10.0,10.0,10.0,7.5,82.58,0.12,0,0,Green,0.0,7.5
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.33,7.42,7.58,7.42,7.67,7.5,10.0,10.0,10.0,7.67,82.58,0.11,2,0,Green,2.0,7.67
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.5,7.5,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.42,82.5,0.11,0,0,Green,4.0,7.42
Indonesia,Arabica,sanjava coffee,Other,Washed / Wet,7.83,7.75,7.25,7.5,7.42,7.33,10.0,10.0,10.0,7.42,82.5,0.11,0,0,Green,5.0,7.42
Honduras,Arabica,elsy reyes,Caturra,Washed / Wet,7.58,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.5,0.1,0,0,Green,4.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.5,7.33,7.5,7.67,7.5,10.0,10.0,10.0,7.5,82.5,0.1,0,2,Green,2.0,7.5
"Tanzania, United Republic Of",Arabica,shah plantations,Other,Washed / Wet,7.67,7.42,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.5,0.12,0,0,Green,1.0,7.5
"Tanzania, United Republic Of",Arabica,amkeni gourmet coffee group,Other,Washed / Wet,7.75,7,7.42,7.58,7.58,7.58,10.0,10.0,10.0,7.58,82.5,0.12,0,0,Bluish-Green,3.0,7.58
Mexico,Arabica,lusso lab,Other,Washed / Wet,7.42,7.58,7.5,7.67,7.25,7.5,10.0,10.0,10.0,7.58,82.5,0.0,0,0,Green,1.0,7.58
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Semi-washed / Semi-pulped,7.42,7.5,7.67,7.33,7.42,7.67,10.0,10.0,10.0,7.5,82.5,0.11,0,0,Bluish-Green,0.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.83,7.42,7.33,7.67,7.42,7.5,10.0,10.0,10.0,7.33,82.5,0.12,0,0,Green,4.0,7.33
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.5,7.5,7.42,7.42,7.58,7.58,10.0,10.0,10.0,7.5,82.5,0.11,0,0,Green,1.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.83,7.67,7.17,7.33,7.5,7.67,10.0,10.0,10.0,7.33,82.5,0.11,0,0,Green,0.0,7.33
Mexico,Arabica,saul m. hernandez ramirez,Typica,Washed / Wet,7.5,7.58,7.5,7.5,7.42,7.42,10.0,10.0,10.0,7.58,82.5,0.13,0,0,None,10.0,7.58
Mexico,Arabica,enrique mitre lopez,Typica,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,7.5,82.5,0.12,0,0,Green,5.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Caturra,Natural / Dry,7.67,7.33,7.33,7.33,7.5,7.83,10.0,10.0,10.0,7.5,82.5,0.11,0,0,Green,5.0,7.5
Brazil,Arabica,jacques pereira carneiro,Bourbon,Semi-washed / Semi-pulped,7.67,7.42,7.33,7.67,7.5,7.5,10.0,10.0,10.0,7.42,82.5,0.0,0,0,Blue-Green,4.0,7.42
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.5,7.33,7.5,7.25,7.67,10.0,10.0,10.0,7.58,82.5,0.11,1,0,Green,3.0,7.58
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Washed / Wet,7.33,7.42,7.33,7.75,7.42,7.67,10.0,10.0,10.0,7.58,82.5,0.12,2,0,Green,3.0,7.58
Honduras,Arabica,brian beck,Other,Washed / Wet,7.42,7.67,7.17,7.58,7.58,7.5,10.0,10.0,10.0,7.5,82.42,0.12,0,1,Green,6.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.58,7.5,7.33,7.75,7.33,7.5,10.0,10.0,10.0,7.42,82.42,0.1,0,1,Green,2.0,7.42
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,7.58,7.25,7.67,7.42,7.33,10.0,10.0,10.0,7.5,82.42,0.12,0,0,Green,0.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.58,7.5,7.25,7.67,7.5,7.5,10.0,10.0,10.0,7.42,82.42,0.12,0,0,Green,0.0,7.42
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.5,7.42,7.08,7.75,7.67,7.5,10.0,10.0,10.0,7.5,82.42,0.11,0,2,Green,3.0,7.5
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,5.08,7.75,7.83,7.75,7.83,8.08,10.0,10.0,10.0,8.08,82.42,0.11,0,0,Green,1.0,8.08
China,Arabica,yunnan coffee exchange,Catimor,Washed / Wet,7.67,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.58,82.42,0.1,0,0,Green,0.0,7.58
"Tanzania, United Republic Of",Arabica,gladness obed pallangyo,Ruiru 11,Washed / Wet,7.67,7.25,7.42,7.42,7.67,7.42,10.0,10.0,10.0,7.58,82.42,0.13,0,0,Green,7.0,7.58
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,7.17,7.83,7.33,7.5,7.75,7.42,10.0,10.0,10.0,7.42,82.42,0.0,0,0,Green,0.0,7.42
Guatemala,Arabica,the coffee source inc.,Caturra,Washed / Wet,7.5,7.5,7.5,7.67,7.42,7.5,10.0,10.0,10.0,7.33,82.42,0.1,0,0,Green,0.0,7.33
Mexico,Arabica,productos y servicios chilindron s.a. de c.v.,Typica,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.58,82.42,0.11,0,0,Green,0.0,7.58
Brazil,Arabica,nucoffee,Catuai,Semi-washed / Semi-pulped,7.58,7.67,7.33,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.42,0.12,0,0,Blue-Green,1.0,7.42
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,7.25,7.33,7.25,7.5,7.42,7.5,10.0,10.0,10.0,8.17,82.42,0.0,0,0,Green,0.0,8.17
Mexico,Arabica,manuel herrera juarez,Bourbon,Washed / Wet,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10.0,10.0,7.5,82.42,0.12,0,0,Green,0.0,7.5
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.42,7.33,7.5,7.58,7.5,10.0,10.0,10.0,7.42,82.42,0.11,0,0,Green,9.0,7.42
Mexico,Arabica,nestor mendez gomez,Typica,Washed / Wet,7.5,7.42,7.42,7.67,7.42,7.58,10.0,10.0,10.0,7.42,82.42,0.12,0,0,Green,5.0,7.42
Mexico,Arabica,jesus salazar velasco,Typica,Semi-washed / Semi-pulped,7.42,7.58,7.5,7.42,7.58,7.5,10.0,10.0,10.0,7.42,82.42,0.13,0,0,Green,2.0,7.42
Mexico,Arabica,"el equimite, cafetal biodinÃ¡mico",Typica,Washed / Wet,7.42,7.58,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.42,0.14,0,0,Green,9.0,7.5
Mexico,Arabica,manuel herrera juarez,Caturra,Washed / Wet,7.75,7.33,7.25,7.58,7.58,7.33,10.0,10.0,10.0,7.58,82.42,0.13,0,0,Green,1.0,7.58
Mexico,Arabica,dario cesar galeana sanchez,Typica,Washed / Wet,7.5,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.42,0.11,0,0,Green,0.0,7.5
Mexico,Arabica,jose daniel cobilt castro,Pacamara,Washed / Wet,7.58,7.58,7.17,7.5,7.5,7.5,10.0,10.0,10.0,7.58,82.42,0.14,0,0,Green,6.0,7.58
Mexico,Arabica,alvaro quiros perez,Caturra,Washed / Wet,7.58,7.33,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.58,82.42,0.11,0,0,Green,0.0,7.58
Mexico,Arabica,finca las nieves,Typica,Washed / Wet,7.83,7.5,7.42,7.67,7.17,7.33,10.0,10.0,10.0,7.5,82.42,0.12,0,0,Bluish-Green,0.0,7.5
Brazil,Arabica,nucoffee,Arusha,Natural / Dry,7.75,7.5,7.42,7.42,7.5,7.42,10.0,10.0,10.0,7.42,82.42,0.11,0,0,Blue-Green,2.0,7.42
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.58,10.0,10.0,10.0,7.75,82.42,0.0,0,0,Green,2.0,7.75
Honduras,Arabica,bismarck castro,Caturra,Washed / Wet,7.5,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,7.58,82.33,0.1,0,1,Green,8.0,7.58
Brazil,Arabica,pedro santos e silva,Catuai,Natural / Dry,7.33,7.5,7.5,7.33,7.5,7.5,10.0,10.0,10.0,7.67,82.33,0.11,0,3,Green,11.0,7.67
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.5,7.5,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.5,82.33,0.11,0,2,Bluish-Green,3.0,7.5
Costa Rica,Arabica,"ceca, s.a.",Caturra,Washed / Wet,7.75,7.5,7.25,7.25,7.42,7.67,10.0,10.0,10.0,7.5,82.33,0.1,6,1,Bluish-Green,3.0,7.5
Costa Rica,Arabica,rodrigo soto,Catuai,Washed / Wet,7.75,7.33,7.5,7.5,7.33,7.58,10.0,10.0,10.0,7.33,82.33,0.0,0,2,Green,0.0,7.33
China,Arabica,yunnan coffee exchange,Catimor,Pulped natural / honey,7.5,7.58,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.5,82.33,0.12,0,6,Green,2.0,7.5
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,8.25,7.83,7.25,8.33,8.17,8.08,10.0,6.67,10.0,7.75,82.33,0.07,0,0,Green,0.0,7.75
Brazil,Arabica,bourbon specialty coffees,Mundo Novo,Natural / Dry,7.42,7.5,7.5,7.42,7.5,7.58,10.0,10.0,10.0,7.42,82.33,0.11,0,0,Green,10.0,7.42
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.42,7.17,7.83,7.5,7.5,10.0,10.0,10.0,7.42,82.33,0.1,0,0,Green,6.0,7.42
Malawi,Arabica,afca,Gesha,Washed / Wet,7.33,7.58,7.42,7.58,7.33,7.5,10.0,10.0,10.0,7.58,82.33,0.12,0,0,Green,0.0,7.58
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.75,8.08,7.67,8.08,8.08,8.0,10.0,10.0,6.67,8,82.33,0.11,0,0,Blue-Green,0.0,8.0
Guatemala,Arabica,juan luis alvarado romero,Pacas,Washed / Wet,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10.0,10.0,7.42,82.33,0.12,0,0,Green,3.0,7.42
Colombia,Arabica,the coffee source inc.,Caturra,Washed / Wet,7.42,7.33,7.5,7.17,7.08,8.33,10.0,10.0,10.0,7.5,82.33,0.1,0,0,Green,2.0,7.5
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.33,82.33,0.11,0,0,Green,0.0,7.33
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.33,82.33,0.11,0,0,Green,0.0,7.33
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.42,7.58,7.5,7.5,7.58,10.0,10.0,10.0,7.25,82.33,0.12,2,0,Green,1.0,7.25
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.5,7.42,7.5,7.5,7.5,7.58,10.0,10.0,10.0,7.33,82.33,0.0,0,0,Green,1.0,7.33
Mexico,Arabica,alfredo bojalil,Typica,Washed / Wet,7.67,7.5,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.42,82.33,0.12,0,0,Green,3.0,7.42
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,7.33,82.33,0.11,0,0,Green,3.0,7.33
Mexico,Arabica,saul m. hernandez ramirez,Typica,Natural / Dry,7.58,7.67,7.58,7.33,7.0,7.58,10.0,10.0,10.0,7.58,82.33,0.15,1,0,None,8.0,7.58
Mexico,Arabica,manuel herrera juarez,Bourbon,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7,82.33,0.13,0,0,Green,9.0,7.0
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.67,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.5,82.33,0.1,2,0,Green,5.0,7.5
Brazil,Arabica,nucoffee,Mundo Novo,Natural / Dry,7.58,7.5,7.42,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.33,0.12,0,0,Green,2.0,7.42
Mexico,Arabica,maria luisa del carmen rojas narvaez,Typica,Washed / Wet,8.0,7.75,7.33,7.33,7.08,7.67,9.33,10.0,10.0,7.83,82.33,0.11,0,0,Green,0.0,7.83
Brazil,Arabica,nucoffee,Mundo Novo,Washed / Wet,7.58,7.58,7.25,7.58,7.42,7.5,10.0,10.0,10.0,7.42,82.33,0.11,0,0,Green,2.0,7.42
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.83,7.58,7.33,7.25,7.58,7.42,10.0,10.0,10.0,7.33,82.33,0.0,0,0,Green,0.0,7.33
Brazil,Arabica,klem organics,Catuai,Washed / Wet,7.58,7.5,7.25,7.42,7.67,7.33,10.0,10.0,10.0,7.5,82.25,0.09,2,6,Green,10.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Pacas,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10.0,10.0,10.0,7.33,82.25,0.11,0,2,Green,2.0,7.33
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,7.42,7.67,7.5,7.08,7.5,7.42,10.0,10.0,10.0,7.67,82.25,0.0,0,0,Green,9.0,7.67
El Salvador,Arabica,consejo salvadoreÃ±o del cafÃ©,Bourbon,Washed / Wet,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,82.25,0.12,0,0,Green,0.0,7.58
Honduras,Arabica,cadexsa,Catuai,Washed / Wet,7.58,7.5,7.42,7.58,7.42,7.42,10.0,10.0,10.0,7.33,82.25,0.11,0,0,Green,2.0,7.33
Malawi,Arabica,afca,Gesha,Washed / Wet,7.58,7.42,7.33,7.42,7.58,7.5,10.0,10.0,10.0,7.42,82.25,0.13,0,0,Blue-Green,0.0,7.42
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.75,7.58,7.42,7.42,7.33,7.33,10.0,10.0,10.0,7.42,82.25,0.11,0,0,Green,0.0,7.42
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.25,82.25,0.11,0,0,Green,0.0,7.25
Mexico,Arabica,jesus carlos cardenas valdivia,Mundo Novo,Washed / Wet,7.58,7.58,7.42,7.42,7.42,7.42,10.0,10.0,10.0,7.42,82.25,0.12,0,0,Blue-Green,4.0,7.42
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Natural / Dry,7.33,7.42,7.5,7.67,7.5,7.42,10.0,10.0,10.0,7.42,82.25,0.0,0,0,Bluish-Green,1.0,7.42
Mexico,Arabica,saul m. hernandez ramirez,Bourbon,Washed / Wet,7.58,7.58,7.5,7.17,7.42,7.42,10.0,10.0,10.0,7.58,82.25,0.16,3,0,None,8.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.5,7.33,7.58,7.67,7.33,10.0,10.0,10.0,7.33,82.25,0.11,0,0,Green,2.0,7.33
Mexico,Arabica,manuel herrera juarez,Bourbon,Washed / Wet,7.5,7.58,7.42,7.67,7.33,7.42,10.0,10.0,10.0,7.33,82.25,0.13,0,0,Green,3.0,7.33
Mexico,Arabica,guillermo rojas saldana,Typica,Washed / Wet,7.67,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,7.33,82.25,0.12,0,0,Green,13.0,7.33
El Salvador,Arabica,adam kline,Other,Washed / Wet,7.75,7.33,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.33,82.25,0.0,2,0,Green,5.0,7.33
Mexico,Arabica,sergio de la vequia bernardi,Typica,Washed / Wet,7.33,7.58,7.42,7.67,7.33,7.5,10.0,10.0,10.0,7.42,82.25,0.11,0,0,Green,0.0,7.42
Mexico,Arabica,organizaciones de productores de cafe colimense,Typica,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.42,82.25,0.1,0,0,Green,3.0,7.42
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.5,7.42,7.67,7.33,7.58,7.33,10.0,10.0,10.0,7.42,82.25,0.12,0,0,Green,1.0,7.42
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.33,7.33,7.33,7.5,7.5,10.0,10.0,10.0,7.58,82.25,0.11,0,0,Green,0.0,7.58
Brazil,Arabica,nucoffee,Arusha,Natural / Dry,7.67,7.58,7.42,7.0,7.5,7.58,10.0,10.0,10.0,7.5,82.25,0.12,0,0,Green,1.0,7.5
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.42,7.42,7.5,7.42,7.42,7.5,10.0,10.0,10.0,7.5,82.17,0.11,0,1,Green,5.0,7.5
Honduras,Arabica,bismarck castro,Caturra,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10.0,10.0,10.0,7.58,82.17,0.11,0,1,Bluish-Green,2.0,7.58
"Tanzania, United Republic Of",Arabica,langiro farm group,Bourbon,Washed / Wet,7.58,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,7.5,82.17,0.13,1,0,Green,6.0,7.5
"Tanzania, United Republic Of",Arabica,ibero coffee trading co (t) ltd,Other,Washed / Wet,7.42,7.42,7.42,7.5,7.5,7.33,10.0,10.0,10.0,7.58,82.17,0.12,0,0,Green,1.0,7.58
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,6.92,7.58,7.42,7.33,7.83,7.5,10.0,10.0,10.0,7.58,82.17,0.0,0,0,Green,1.0,7.58
Honduras,Arabica,cadexsa,Catuai,Washed / Wet,7.67,7.5,7.25,7.42,7.58,7.42,10.0,10.0,10.0,7.33,82.17,0.11,0,0,Green,2.0,7.33
Guatemala,Arabica,essencecoffee,Bourbon,Washed / Wet,7.42,7.42,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.42,82.17,0.09,0,0,Blue-Green,4.0,7.42
